date,All-count,Conservative-count,Progressive-count,All-total_count,Conservative-total_count,Progressive-total_count,All-ratio,Conservative-ratio,Progressive-ratio
"2019-08-15","9","5","3","31982","11529","12158","0.00028140829216434244","0.00043368895827912223","0.0002467511103799967"
"2019-08-16","6","5","0","30974","10876","11450","0.0001937108542648673","0.0004597278411180581","0"
"2019-08-17","2","2","0","17885","6394","6141","0.00011182555213866368","0.00031279324366593683","0"
"2019-08-18","6","6","0","19115","6611","6231","0.00031388961548522103","0.0009075782786265315","0"
"2019-08-19","8","7","1","31727","11367","11003","0.0002521511646231916","0.0006158177179554852","9.088430428065073e-05"
"2019-08-20","7","6","1","33349","12112","11740","0.00020990134636720743","0.0004953764861294584","8.517887563884156e-05"
"2019-08-21","12","12","0","33933","12400","12064","0.0003536380514543365","0.000967741935483871","0"
"2019-08-22","12","10","1","33509","11930","11973","0.00035811274582947864","0.0008382229673093043","8.352125615969264e-05"
"2019-08-23","2","2","0","31368","10714","11741","6.375924509053813e-05","0.00018667164457718873","0"
"2019-08-24","5","5","0","19564","6741","6699","0.00025557145777959517","0.0007417297136923305","0"
"2019-08-25","7","7","0","19412","6818","6529","0.00036060168967648877","0.001026694045174538","0"
"2019-08-26","3","3","0","30942","10797","11252","9.695559433779329e-05","0.0002778549597110308","0"
"2019-08-27","9","6","1","33493","12103","11776","0.00026871286537485446","0.0004957448566471123","8.491847826086956e-05"
"2019-08-28","3","1","2","10693","3529","3963","0.00028055737398297953","0.00028336639274582036","0.0005046681806712087"
"2019-08-29","2","2","0","20509","7557","7303","9.751816275781364e-05","0.00026465528648934763","0"
"2019-08-30","18","10","5","31831","11047","11526","0.0005654864754484622","0.0009052231375033946","0.0004338018393197987"
"2019-08-31","18","11","5","20902","7185","6986","0.0008611616113290595","0.0015309672929714683","0.0007157171485828801"
"2019-09-01","4","4","0","19784","6892","6589","0.0002021835826930853","0.0005803830528148578","0"
"2019-09-02","6","4","2","24121","8680","8303","0.00024874590605696283","0.0004608294930875576","0.00024087679152113694"
"2019-09-03","13","8","5","34227","12165","12187","0.00037981710345633563","0.0006576243321002877","0.0004102732419791581"
"2019-09-04","5","5","0","34608","12432","12773","0.00014447526583448913","0.00040218790218790216","0"
"2019-09-05","18","6","11","34177","12320","12641","0.0005266699827369283","0.000487012987012987","0.0008701843208606914"
"2019-09-06","7","2","5","33266","11675","12479","0.00021042505861840918","0.00017130620985010707","0.00040067313085984454"
"2019-09-07","1","1","0","21454","7634","6936","4.661135452596253e-05","0.00013099292638197538","0"
"2019-09-08","20","9","6","20445","7003","6553","0.0009782342871117633","0.0012851635013565615","0.0009156111704562796"
"2019-09-09","12","7","1","33852","11678","12183","0.0003544842254519674","0.0005994177085117315","8.208158909956496e-05"
"2019-09-10","6","5","1","36598","12764","13206","0.0001639433848844199","0.0003917267314321529","7.572315614114796e-05"
"2019-09-11","9","5","4","36143","12692","13020","0.0002490108734748084","0.0003939489442168295","0.00030721966205837174"
"2019-09-12","25","17","5","37477","13131","13384","0.0006670758064946501","0.001294646256949204","0.0003735803945008966"
"2019-09-13","18","14","2","35039","11696","12729","0.0005137132909044208","0.0011969904240766074","0.000157121533506167"
"2019-09-14","21","20","0","24211","9083","7541","0.0008673743339804222","0.0022019156666299683","0"
"2019-09-15","22","21","0","24458","8544","7790","0.0008995011857061084","0.0024578651685393258","0"
"2019-09-16","9","9","0","34334","12354","11719","0.00026213083241102115","0.0007285089849441476","0"
"2019-09-17","15","10","2","36254","12766","12812","0.00041374744855740054","0.0007833307222309259","0.00015610365282547612"
"2019-09-18","13","12","1","36427","12716","13132","0.0003568781398413265","0.0009436929852154766","7.614986293024673e-05"
"2019-09-19","8","6","2","36933","12997","13253","0.00021660845314488397","0.0004616449949988459","0.00015090922809929828"
